Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	Bladder disorder	11/19	7.606277e-02	2.467164e-01	1.547523e+00	3.986722e+00	SIGMAR1_9606;OPRM1_10090;OPRK1_10090;OPRK1_10116;SIGMAR1_10116;HRH1_10116;OPRK1_9606;OPRK1_10141;HRH1_9606;SIGMAR1_10141;SIGMAR1_10090
gs_ind_0	Bleeding time prolonged	5/12	5.618595e-01	7.897247e-01	1.101517e+00	6.350285e-01	SLC6A4_9606;HTR2A_9606;SLC6A4_10116;HTR2A_10116;SLC6A4_10090
gs_ind_0	Blood glucose abnormal	4/6	1.741206e-01	3.702044e-01	1.766091e+00	3.087139e+00	SLC6A4_10116;SLC6A4_9606;SLC6A4_10090;SLC6A2_10090
gs_ind_0	Blood glucose increased	2/9	9.332670e-01	9.999898e-01	6.430812e-01	4.441370e-02	ADRB2_9913;OPRM1_10090
gs_ind_0	Blood potassium decreased	1/7	9.736994e-01	9.999898e-01	4.875817e-01	1.299535e-02	ADRB2_9913
gs_ind_0	Blood pressure decreased	35/92	7.416307e-01	9.596076e-01	9.165660e-01	2.739651e-01	SCN5A_9606;ADORA1_9986;DRD2_9913;HTR1A_9606;OPRM1_10090;OPRK1_10141;HTR1A_10116;CNR1_10116;OPRK1_10090;ADRA1A_10116;ADRB1_10090;TACR1_10116;DRD1_10116;ADRA1A_9913;DRD2_10090;CNR1_9606;ADRA2B_10116;OPRK1_10116;ACHE_10116;CNR1_10090;TACR1_10141;HRH1_10116;ADRA1A_9986;ADRB2_9913;ACHE_10090;HRH1_9606;CHRNA4_10116;DRD2_9606;DRD2_9534;CHRNA4_9606;DRD2_10116;OPRK1_9606;ADRA1A_9606;GABRA1_9606;HTR1A_10090
gs_ind_0	Blood pressure increased	27/86	9.898362e-01	9.999898e-01	6.767584e-01	6.913641e-03	HTR3A_10116;HTR3A_9606;DRD2_9913;AVPR1A_10090;OPRM1_10090;ADRA1A_10116;HTR3A_10141;DRD1_10116;SLC6A2_10090;ADRA1A_9913;HTR3A_10090;DRD2_10090;HTR2A_9606;ADRA2B_10116;ACHE_10116;ADRA1A_9986;HRH1_10116;ADRB2_9913;ACHE_10090;AVPR1A_9606;HTR2A_10116;HRH1_9606;DRD2_9606;DRD2_9534;DRD2_10116;ADRA1A_9606;AVPR1A_10116
gs_ind_0	Blood prolactin increased	3/3	6.201171e-02	2.091862e-01	2.557047e+00	7.109696e+00	HTR1A_9606;HTR1A_10090;HTR1A_10116
gs_ind_0	Body temperature decreased	22/33	6.264951e-04	1.854598e-02	1.942315e+00	1.432529e+01	AVPR1A_10090;DRD2_9913;HTR1A_9606;OPRM1_10090;OPRK1_10141;HTR1A_10116;CNR1_10116;OPRK1_10090;DRD2_10090;CNR1_9606;HTR2A_9606;OPRK1_10116;CNR1_10090;AVPR1A_9606;HTR2A_10116;DRD2_9606;DRD2_9534;DRD2_10116;OPRK1_9606;GABRA1_9606;HTR1A_10090;AVPR1A_10116
gs_ind_0	Body temperature increased	3/16	9.848760e-01	9.999898e-01	5.053895e-01	7.701915e-03	OPRM1_10090;HTR2A_9606;HTR2A_10116
gs_ind_0	Bone marrow disorder	2/3	3.497460e-01	5.875644e-01	1.802271e+00	1.893372e+00	HRH1_10116;HRH1_9606
gs_ind_0	Bradycardia	16/36	3.317150e-01	5.875644e-01	1.157701e+00	1.277499e+00	CHRNA1_9606;ADORA1_9986;ADRB1_10090;CHRNA4_9606;ADRA2B_10116;OPRM1_10090;OPRK1_10090;OPRK1_10116;ADRA1A_9986;ADRA1A_9913;ADRB2_9913;OPRK1_9606;OPRK1_10141;ADRA1A_9606;CHRNA4_10116;ADRA1A_10116
gs_ind_0	Bronchospasm	9/27	8.319004e-01	9.999898e-01	8.396815e-01	1.545371e-01	CHRNA1_9606;ADRB1_10090;CHRNA4_9606;ACHE_10116;HRH1_10116;ADRB2_9913;ACHE_10090;HRH1_9606;CHRNA4_10116
gs_ind_0	Carbohydrate metabolism disorder	4/4	2.415193e-02	1.328356e-01	2.578231e+00	9.599763e+00	ADRA1A_9986;ADRA1A_9913;ADRA1A_9606;ADRA1A_10116
gs_ind_0	Cardiac arrest	5/9	2.598977e-01	4.981373e-01	1.473321e+00	1.985252e+00	SCN5A_9606;CHRNA1_9606;SCN2A_9606;ADRB2_9913;SCN2A_10116
gs_ind_0	Cardiac failure	16/36	3.317150e-01	5.875644e-01	1.157701e+00	1.277499e+00	DRD2_10090;DRD2_9606;SCN5A_9606;ADORA1_9986;ADRB1_10090;DRD2_9913;DRD2_9534;ADRA2B_10116;OPRK1_10116;DRD2_10116;OPRK1_9606;ADRB2_9913;OPRK1_10141;DRD1_10116;GABRA1_9606;OPRK1_10090
gs_ind_0	Cardiac failure congestive	9/14	5.068414e-02	1.945920e-01	1.716839e+00	5.119857e+00	ADRB1_10090;HTR1A_9606;ADRA1A_9986;ADRA1A_9913;ADRA1A_9606;ADRB2_9913;HTR1A_10116;HTR1A_10090;ADRA1A_10116
gs_ind_0	Cardiac output decreased	1/3	7.851335e-01	9.596076e-01	1.067227e+00	2.581638e-01	ADRB1_10090
gs_ind_0	Cardiac valve disease	8/10	1.027332e-02	9.996727e-02	2.137376e+00	9.785346e+00	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;DRD2_10116;HTR2B_9606;HTR2B_10116;DRD1_10116
gs_ind_0	Cardiogenic shock	2/7	8.448263e-01	9.999898e-01	8.233996e-01	1.388451e-01	ADRB2_9913;ADRB1_10090
gs_ind_0	Cardiomegaly	5/10	3.615316e-01	5.887654e-01	1.325780e+00	1.348856e+00	AVPR1A_10090;ADRB1_10090;ADRB2_9913;AVPR1A_9606;AVPR1A_10116
gs_ind_0	Cataract	6/11	2.382380e-01	4.708923e-01	1.442688e+00	2.069514e+00	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;DRD2_10116;DRD1_10116
gs_ind_0	Central nervous system stimulation	5/7	9.120384e-02	2.780069e-01	1.886437e+00	4.517371e+00	SCN5A_9606;SCN2A_9606;HRH1_10116;SCN2A_10116;HRH1_9606
gs_ind_0	Cerebral haemorrhage	5/8	1.671366e-01	3.702044e-01	1.655578e+00	2.961736e+00	ADRA2B_10116;ADRA1A_9986;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Cerebrovascular disorder	9/16	1.301240e-01	3.465406e-01	1.491927e+00	3.042438e+00	SIGMAR1_10090;SIGMAR1_9606;OPRM1_10090;OPRK1_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;SIGMAR1_10141;OPRK1_10090
gs_ind_0	Chest discomfort	2/3	3.497460e-01	5.875644e-01	1.802271e+00	1.893372e+00	HRH1_10116;HRH1_9606
gs_ind_0	Cholestasis	7/13	2.189704e-01	4.396786e-01	1.422380e+00	2.160337e+00	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;DRD2_10116;DRD1_10116;GABRA1_9606
gs_ind_0	Cognitive disorder	2/8	8.974841e-01	9.999898e-01	7.226334e-01	7.815992e-02	ACHE_10090;ACHE_10116
gs_ind_0	Colitis ischemic	4/4	2.415193e-02	1.328356e-01	2.578231e+00	9.599763e+00	HTR3A_10141;HTR3A_9606;HTR3A_10116;HTR3A_10090
gs_ind_0	Coma	10/19	1.714695e-01	3.702044e-01	1.392023e+00	2.454624e+00	SCN5A_9606;SCN2A_9606;OPRM1_10090;OPRK1_10116;ACHE_10116;OPRK1_9606;OPRK1_10141;ACHE_10090;SCN2A_10116;OPRK1_10090
gs_ind_0	Conduction disorder	6/9	9.292772e-02	2.798895e-01	1.765550e+00	4.194830e+00	SLC6A4_9606;SLC6A4_10116;HRH1_10116;HRH1_9606;SLC6A4_10090;SLC6A2_10090
gs_ind_0	Confusional state	10/12	2.066475e-03	4.044722e-02	2.258667e+00	1.396288e+01	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;DRD2_10116;OPRK1_10116;OPRK1_9606;OPRK1_10141;GABRA1_9606;OPRK1_10090
gs_ind_0	Constipation	20/57	8.519296e-01	9.999898e-01	8.463516e-01	1.356290e-01	DRD2_9913;OPRM1_10090;HTR2B_10116;OPRK1_10141;OPRK1_10090;TACR1_10116;DRD2_10090;HTR2B_9606;OPRK1_10116;ACHE_10116;TACR1_10141;HRH1_10116;ACHE_10090;HRH1_9606;CHRNA4_10116;DRD2_9606;DRD2_9534;CHRNA4_9606;DRD2_10116;OPRK1_9606
gs_ind_0	Convulsion	9/10	1.270712e-03	2.922638e-02	2.423705e+00	1.616170e+01	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;SCN2A_9606;DRD2_10116;HRH1_10116;SCN2A_10116;HRH1_9606
gs_ind_0	Coordination abnormal	1/3	7.851335e-01	9.596076e-01	1.067227e+00	2.581638e-01	DRD1_10116
gs_ind_0	Corneal disorder	3/4	1.755910e-01	3.702044e-01	1.978374e+00	3.441575e+00	SCN5A_9606;SCN2A_9606;SCN2A_10116
gs_ind_0	Corneal opacity	6/8	4.564419e-02	1.945920e-01	1.983957e+00	6.124236e+00	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;DRD2_10116;DRD1_10116
gs_ind_0	Corneal pigmentation	8/12	5.076314e-02	1.945920e-01	1.775827e+00	5.293004e+00	DRD2_9606;DRD2_10090;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;DRD1_10116;HTR2A_10116
gs_ind_0	Cycloplegia	6/22	9.381301e-01	9.999898e-01	6.929293e-01	4.425504e-02	SLC6A4_9606;SLC6A4_10116;HRH1_10116;HRH1_9606;SLC6A4_10090;SLC6A2_10090
gs_ind_0	Deafness transitory	1/3	7.851335e-01	9.596076e-01	1.067227e+00	2.581638e-01	ADRB1_10090
gs_ind_0	Death	14/40	8.131995e-01	9.843994e-01	8.654613e-01	1.789591e-01	SCN5A_9606;ADORA1_9986;CHRNA1_9606;SCN2A_9606;CHRNA4_9606;OPRM1_10090;OPRK1_10116;ACHE_10116;OPRK1_9606;OPRK1_10141;ACHE_10090;SCN2A_10116;CHRNA4_10116;OPRK1_10090
gs_ind_0	Decreased activity	18/28	4.432726e-03	6.230442e-02	1.805543e+00	9.783771e+00	DRD2_10090;DRD2_9606;CNR1_9606;DRD2_9534;DRD2_9913;HTR1A_9606;OPRK1_10116;DRD2_10116;CNR1_10090;HTR2C_9606;OPRK1_9606;OPRK1_10141;DRD1_10116;HTR1A_10116;HTR2C_10116;HTR1A_10090;CNR1_10116;OPRK1_10090
gs_ind_0	Dependence	20/34	1.156267e-02	1.008744e-01	1.648267e+00	7.351227e+00	OPRM1_10090;SLC6A3_10090;SLC6A4_10116;OPRK1_10141;SLC6A4_10090;OPRK1_10090;SIGMAR1_10090;SLC6A3_10116;HTR2C_10116;SIGMAR1_9606;HTR2A_9606;OPRK1_10116;HTR2A_10116;SLC6A4_9606;SIGMAR1_10116;OPRK1_9606;HTR2C_9606;GABRA1_9606;SLC6A3_9606;SIGMAR1_10141
gs_ind_0	Depressed level of consciousness	1/4	8.722110e-01	9.999898e-01	8.257081e-01	1.128941e-01	ADRA2B_10116
gs_ind_0	Depression	8/18	4.308391e-01	6.687258e-01	1.160218e+00	9.769271e-01	CNR1_9606;SLC6A3_10116;CNR1_10090;SLC6A3_9606;DRD1_10116;GABRA1_9606;CNR1_10116;SLC6A3_10090
gs_ind_0	Dermatitis allergic	12/17	7.652006e-03	9.218846e-02	1.924755e+00	9.378920e+00	DRD2_9606;DRD2_10090;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;HRH1_10116;HTR2C_9606;DRD1_10116;HTR2C_10116;HTR2A_10116;HRH1_9606
gs_ind_0	Dermatitis contact	9/16	1.301240e-01	3.465406e-01	1.491927e+00	3.042438e+00	SIGMAR1_10090;SIGMAR1_9606;OPRM1_10090;OPRK1_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;SIGMAR1_10141;OPRK1_10090
gs_ind_0	Dermatitis exfoliative	7/9	2.200242e-02	1.328356e-01	2.066069e+00	7.885366e+00	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;DRD2_10116;DRD1_10116;GABRA1_9606
gs_ind_0	Diabetic eye disease	2/10	9.571142e-01	9.999898e-01	5.786818e-01	2.536510e-02	HRH1_10116;HRH1_9606
gs_ind_0	Diarrhoea	20/34	1.156267e-02	1.008744e-01	1.648267e+00	7.351227e+00	HTR3A_9606;HTR3A_10116;DRD2_9913;TACR2_9986;SLC6A4_10116;SLC6A4_10090;TACR2_9606;HTR3A_10141;TACR2_10141;HTR3A_10090;DRD2_10090;TACR2_10116;ACHE_10116;HRH1_10116;ACHE_10090;HRH1_9606;DRD2_9606;DRD2_9534;SLC6A4_9606;DRD2_10116
gs_ind_0	Disorientation	12/19	2.763665e-02	1.426953e-01	1.707771e+00	6.128527e+00	SLC6A4_9606;HTR1A_9606;OPRM1_10090;OPRK1_10116;SLC6A4_10116;OPRK1_9606;OPRK1_10141;HTR1A_10116;GABRA1_9606;HTR1A_10090;SLC6A4_10090;OPRK1_10090
gs_ind_0	Disturbance in attention	3/6	4.534979e-01	6.870358e-01	1.355188e+00	1.071635e+00	CNR1_10116;CNR1_9606;CNR1_10090
gs_ind_0	Dizziness	8/23	7.746450e-01	9.596076e-01	8.873412e-01	2.265829e-01	CNR1_9606;HTR3A_9606;HTR3A_10116;CNR1_10090;HTR3A_10141;DRD1_10116;CNR1_10116;HTR3A_10090
gs_ind_0	Dizziness postural	4/4	2.415193e-02	1.328356e-01	2.578231e+00	9.599763e+00	ADRA1A_9986;ADRA1A_9913;ADRA1A_9606;ADRA1A_10116
gs_ind_0	Drug abuse	20/34	1.156267e-02	1.008744e-01	1.648267e+00	7.351227e+00	HTR3A_9606;HTR3A_10116;DRD2_9913;OPRM1_10090;OPRK1_10141;OPRK1_10090;HTR3A_10141;DRD1_10116;SLC6A2_10090;HTR3A_10090;DRD2_10090;OPRK1_10116;ACHE_10116;ACHE_10090;CHRNA4_10116;DRD2_9606;DRD2_9534;CHRNA4_9606;DRD2_10116;OPRK1_9606
gs_ind_0	Drug tolerance	9/16	1.301240e-01	3.465406e-01	1.491927e+00	3.042438e+00	SIGMAR1_10090;SIGMAR1_9606;OPRM1_10090;OPRK1_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;SIGMAR1_10141;OPRK1_10090
gs_ind_0	Drug withdrawal syndrome	3/3	6.201171e-02	2.091862e-01	2.557047e+00	7.109696e+00	CNR1_10116;CNR1_9606;CNR1_10090
gs_ind_0	Dry eye	5/10	3.615316e-01	5.887654e-01	1.325780e+00	1.348856e+00	ADRB1_10090;HTR1A_9606;ADRB2_9913;HTR1A_10116;HTR1A_10090
gs_ind_0	Dysarthria	4/7	2.846764e-01	5.335046e-01	1.522449e+00	1.912808e+00	SCN5A_9606;SCN2A_10116;SCN2A_9606;GABRA1_9606
gs_ind_0	Dyskinesia	18/23	8.287015e-05	9.454479e-03	2.255856e+00	2.120106e+01	DRD2_10090;DRD2_9606;DRD2_9534;DRD2_9913;ADRA2B_10116;HTR2B_9606;SLC6A3_10116;HTR2B_10116;DRD2_10116;SLC6A3_9606;ADRA1A_9986;ADRA1A_9913;HTR2C_9606;ADRA1A_9606;DRD1_10116;HTR2C_10116;SLC6A3_10090;ADRA1A_10116
gs_ind_0	Dyspepsia	1/21	9.999898e-01	9.999898e-01	1.573187e-01	1.609926e-06	OPRM1_10090
gs_ind_0	Dysphoria	8/15	2.016231e-01	4.181201e-01	1.408447e+00	2.255424e+00	CNR1_9606;OPRM1_10090;OPRK1_10116;CNR1_10090;OPRK1_9606;OPRK1_10141;CNR1_10116;OPRK1_10090
gs_ind_0	Dystonia	17/22	1.868474e-04	9.454479e-03	2.204775e+00	1.892847e+01	HTR7_10116;DRD2_10090;HRH1_9606;DRD2_9606;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;SLC6A3_10116;SLC6A3_9606;HRH1_10116;HTR2C_9606;DRD1_10116;HTR2C_10116;HTR2A_10116;SLC6A3_10090;HTR7_9606
gs_ind_0	Dysuria	11/21	1.582434e-01	3.702044e-01	1.387480e+00	2.557988e+00	OPRM1_10090;OPRK1_10090;OPRK1_10116;ADRA1A_9986;HRH1_10116;OPRK1_9606;ADRA1A_9606;OPRK1_10141;ADRA1A_10116;HRH1_9606;ADRA1A_9913
gs_ind_0	Ejaculation disorder	20/27	1.178201e-04	9.454479e-03	2.158577e+00	1.952725e+01	DRD2_9913;SLC6A3_10090;HTR7_9606;ADRA1A_10116;HTR7_10116;SLC6A3_10116;DRD1_10116;HTR2C_10116;SLC6A2_10090;ADRA1A_9913;DRD2_10090;HTR2A_9606;ADRA1A_9986;HTR2A_10116;DRD2_9606;DRD2_9534;DRD2_10116;HTR2C_9606;ADRA1A_9606;SLC6A3_9606
gs_ind_0	Electrocardiogram QT prolonged	6/15	5.985371e-01	8.141392e-01	1.046921e+00	5.373497e-01	KCNH2_10141;HRH1_10116;ADRB2_9913;KCNH2_9606;HRH1_9606;SLC6A2_10090
gs_ind_0	Electrocardiogram change	8/19	5.102897e-01	7.446458e-01	1.094448e+00	7.363189e-01	DRD2_10090;DRD2_9606;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;DRD1_10116;HTR2A_10116
gs_ind_0	Endocrine disorder	6/14	5.124964e-01	7.446458e-01	1.125392e+00	7.522813e-01	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;DRD2_10116;DRD1_10116
gs_ind_0	Erectile dysfunction	11/18	4.802659e-02	1.945920e-01	1.640520e+00	4.980620e+00	DRD2_9606;DRD2_10090;DRD2_9534;SLC6A4_9606;HTR2A_9606;DRD2_9913;DRD2_10116;SLC6A4_10116;HTR2A_10116;SLC6A4_10090;SLC6A2_10090
gs_ind_0	Erythema multiforme	1/14	9.994251e-01	9.999898e-01	2.427316e-01	1.395857e-04	GABRA1_9606
gs_ind_0	Extrapyramidal disorder	22/41	3.307599e-02	1.673645e-01	1.489743e+00	5.078455e+00	SCN5A_9606;DRD2_9913;HTR2B_10116;SLC6A3_10090;SLC6A4_10116;SLC6A4_10090;SLC6A3_10116;DRD1_10116;HTR2C_10116;SLC6A2_10090;DRD2_10090;HTR2A_9606;HTR2B_9606;HRH1_10116;HTR2A_10116;HRH1_9606;DRD2_9606;DRD2_9534;SLC6A4_9606;DRD2_10116;HTR2C_9606;SLC6A3_9606
gs_ind_0	Eyelash discolouration	6/8	4.564419e-02	1.945920e-01	1.983957e+00	6.124236e+00	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;DRD2_10116;DRD1_10116
gs_ind_0	Fear	7/15	3.834353e-01	6.139819e-01	1.225120e+00	1.174381e+00	ADRB1_10090;ADRA2B_10116;ADRA1A_9986;ADRA1A_9606;ADRB2_9913;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Fibrocystic breast disease	8/14	1.393511e-01	3.672481e-01	1.514016e+00	2.983761e+00	DRD2_9606;DRD2_10090;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;DRD1_10116;HTR2A_10116
gs_ind_0	Flatulence	1/14	9.994251e-01	9.999898e-01	2.427316e-01	1.395857e-04	OPRM1_10090
gs_ind_0	Fluid retention	3/8	6.868529e-01	9.145989e-01	1.025266e+00	3.851261e-01	AVPR1A_10116;AVPR1A_9606;AVPR1A_10090
gs_ind_0	Flushing	1/11	9.969692e-01	9.999898e-01	3.111679e-01	9.445091e-04	PTGER2_10090
gs_ind_0	Foetal damage	3/4	1.755910e-01	3.702044e-01	1.978374e+00	3.441575e+00	SCN5A_9606;SCN2A_9606;SCN2A_10116
gs_ind_0	Frequent bowel movements	2/6	7.691943e-01	9.596076e-01	9.551707e-01	2.506480e-01	ACHE_10090;ACHE_10116
gs_ind_0	Functional gastrointestinal disorder	3/4	1.755910e-01	3.702044e-01	1.978374e+00	3.441575e+00	SLC6A4_10116;SLC6A4_10090;SLC6A4_9606
gs_ind_0	Galactorrhoea	15/21	2.078315e-03	4.044722e-02	1.989767e+00	1.228920e+01	DRD2_10090;DRD2_9606;DRD2_9534;SLC6A4_9606;HTR2A_9606;DRD2_9913;DRD2_10116;SLC6A4_10116;HRH1_10116;HTR2C_9606;DRD1_10116;HTR2C_10116;HTR2A_10116;HRH1_9606;SLC6A4_10090
gs_ind_0	Gangrene	5/7	9.120384e-02	2.780069e-01	1.886437e+00	4.517371e+00	ADRA1A_9986;ADRA1A_9913;ADRA1A_9606;GABRA1_9606;ADRA1A_10116
gs_ind_0	Gastrointestinal disorder	9/20	3.964220e-01	6.307847e-01	1.173758e+00	1.086050e+00	HRH3_10090;OPRM1_10090;ACHE_10116;TACR1_10116;TACR1_10141;ACHE_10090;HRH3_10116;HRH3_9606;HRH3_10141
gs_ind_0	Gestational hypertension	5/11	4.642763e-01	6.991779e-01	1.203898e+00	9.237215e-01	ADRA2B_10116;ADRA1A_9986;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Gynaecomastia	8/17	3.506807e-01	5.875644e-01	1.233505e+00	1.292564e+00	DRD2_9606;DRD2_10090;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;DRD1_10116;HTR2A_10116
gs_ind_0	Haemolytic anaemia	2/3	3.497460e-01	5.875644e-01	1.802271e+00	1.893372e+00	HRH1_10116;HRH1_9606
gs_ind_0	Hallucination	11/20	1.127998e-01	3.357454e-01	1.463598e+00	3.193776e+00	CNR1_9606;ADRB1_10090;HTR2A_9606;ADRA2B_10116;OPRK1_10116;CNR1_10090;OPRK1_9606;OPRK1_10141;HTR2A_10116;CNR1_10116;OPRK1_10090
gs_ind_0	Hallucination, auditory	5/5	9.328522e-03	9.833817e-02	2.600000e+00	1.215416e+01	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;DRD2_10116
gs_ind_0	Headache	7/10	4.937034e-02	1.945920e-01	1.859169e+00	5.593135e+00	CNR1_9606;SLC6A4_9606;CNR1_10090;SLC6A4_10116;DRD1_10116;CNR1_10116;SLC6A4_10090
gs_ind_0	Heart rate decreased	27/54	5.289542e-02	1.997394e-01	1.393860e+00	4.097165e+00	HRH3_10090;SCN5A_9606;ADORA1_9986;AVPR1A_10090;DRD2_9913;OPRM1_10090;OPRK1_10141;CNR1_10116;OPRK1_10090;ADRB1_10090;HRH3_9606;DRD2_10090;CNR1_9606;OPRK1_10116;ACHE_10116;CNR1_10090;ACHE_10090;AVPR1A_9606;HRH3_10116;CHRNA4_10116;DRD2_9606;DRD2_9534;CHRNA4_9606;DRD2_10116;OPRK1_9606;AVPR1A_10116;HRH3_10141
