washed_smiles,CT_TOX
[NH3+]CC[C@H](O)C(=O)N[C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]1O,0
OCC[NH+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0
[NH3+]C[C@H]1CC[C@H](C(=O)[O-])CC1,0
NC(=O)N/C=C1\NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O,0
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H]([NH3+])C12CC3CC(CC(O)(C3)C1)C2,0
O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,0
[NH3+]C[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]3[NH3+])O[C@@H]2CO)[C@H]([NH3+])[C@@H](O)[C@@H]1O,0
[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H](O)[C@@H](O)[C@@H]1O,0
[NH3+]C[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3[NH3+])O[C@@H]2CO)[C@H]([NH3+])[C@@H](O)[C@@H]1O,0
O=S(=O)([O-])O[C@@H]1[C@@H](OS(=O)(=O)[O-])[C@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H]2OS(=O)(=O)[O-])OC[C@H]1O,0
O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,0
O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0
[NH3+][C@@H]1CONC1=O,0
O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,0
O=C1NC=NC2=C1N=CN2[C@H]1CC[C@@H](CO)O1,0
NC1=NC(=S)C2=C(N=CN2)N1,0
S=C1N=CNC2=C1NC=N2,0
NC1=CC(N2CCCCC2)=NC(N)=[N+]1[O-],0
NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1,0
[NH3+]CCC1=CN=CN1,0
NC1=C(F)C=NC(=O)N1,0
OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl,0
O=C(CCCCC(=O)NC1=C(I)C=C(I)C(C(=O)[O-])=C1I)NC1=C(I)C=C(I)C(C(=O)[O-])=C1I,0
O=C(CCOCCOCCOCCOCCC(=O)NC1=C(I)C=C(I)C(C(=O)[O-])=C1I)NC1=C(I)C=C(I)C(C(=O)[O-])=C1I,0
ClC1=C(Cl)C=C(OCC#CI)C(Cl)=C1,0
[NH3+][C@@H](CC(=O)N1CCN2C(=NN=C2C(F)(F)F)C1)CC1=CC(F)=C(F)C=C1F,0
NC1=NC(=O)N([C@@H]2CS[C@H](CO)O2)C=C1F,0
O=C1NC=C(F)C(=O)N1,0
O=C1NC=C(N(CCCl)CCCl)C(=O)N1,0
O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C(F)(F)F,0
O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1F,0
O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1I,0
NC1=CC(Cl)=C(NC2=[NH+]CCN2)C(Cl)=C1,0
[NH3+][C@@H](CC1=CC(I)=C(OC2=CC(I)=C([O-])C(I)=C2)C(I)=C1)C(=O)[O-],0
[NH3+][C@H](CC1=CC(I)=C(OC2=CC(I)=C([O-])C(I)=C2)C(I)=C1)C(=O)[O-],0
N#CC1=CC(NC(=O)C(=O)[O-])=C(Cl)C(NC(=O)C(=O)[O-])=C1,0
O=C(OC[C@H]1O[C@@H](OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)[C@@H](OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)[C@@H]1OC(=O)C1=CC(O)=C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1)C1=CC(O)=C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1,0
NS(=O)(=O)C1=CC(S(N)(=O)=O)=C(Cl)C(Cl)=C1,0
NC(CCSCC1=CSC([NH+]=C(N)N)=N1)=NS(N)(=O)=O,0
NC1=NC(/C(=C/CC(=O)[O-])C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=CCS[C@H]23)=CS1,0
ClCC1CO1,0
OC1=NC=NC2=C1C=NN2,0
O=C1OC2(C3=CC([131I])=C([O-])C([131I])=C3OC3=C2C=C([131I])C([O-])=C3[131I])C2=C(Cl)C(Cl)=C(Cl)C(Cl)=C12,0
[NH3+][C@@H]1CCCCN(C2=C(F)C=C3C(=O)C(C(=O)[O-])=CN(C4CC4)C3=C2Cl)C1,0
NS(=O)(=O)C1=C(Cl)C=C2NC(C(Cl)Cl)NS(=O)(=O)C2=C1,0
NS(=O)(=O)C1=C(Cl)C=C2NC(C3CC4C=CC3C4)NS(=O)(=O)C2=C1,0
NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,0
O=C([O-])C1=CN(C2CC2)C2=CC(N3CC[NH2+]CC3)=C(F)C=C2C1=O,0
[NH3+]C12CC3CC(CC(C3)C1)C2,0
C1=C/C(=C2\N=C3C=NC4=C(COCC4)C3=N2)NO1,0
NC(=O)N/C=C1/NC(=O)[C@H](CNC(=O)C[C@@H]([NH3+])CCC[NH3+])NC(=O)[C@H](CO)NC(=O)[C@@H]([NH3+])CNC(=O)[C@H]([C@H]2CC[NH+]=C(N)N2)NC1=O,0
NC1=CC=[NH+]C=C1,0
[NH3+]CCC1=NNC=C1,0
NC1=C(CC(=O)[O-])C=CC=C1C(=O)C1=CC=C(Br)C=C1,0
NC(N)=[NH+]C(=O)CC1=C(Cl)C=CC=C1Cl,0
NC1=NC(N)=C(C2=C(Cl)C(Cl)=CC=C2)N=N1,0
O=C1CCC2=CC=C(OCCCC[NH+]3CCN(C4=C(Cl)C(Cl)=CC=C4)CC3)C=C2N1,0
ClC1=CC=CC(Cl)=C1NC1=[NH+]CCN1,0
ClC1=CC=C(CCC(CN2C=CN=C2)SC2=C(Cl)C=CC=C2Cl)C=C1,0
NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1,0
O=C1CN2CC3=C(C=CC(Cl)=C3Cl)[NH+]=C2N1,0
BrC1=C(NC2=[NH+]CCN2)C=CC2=C1N=CC=N2,0
ClC1=C(NC2=[NH+]CCN2)C2=NSN=C2C=C1,0
O=C([O-])C1=CC(/N=N/C2=CC(C(=O)[O-])=C(O)C=C2)=CC=C1O,0
[NH3+]C[C@H](O)C1=CC(O)=C(O)C=C1,0
O=C(NC1=C(Cl)C=C([N+](=O)[O-])C=C1)C1=CC(Cl)=CC=C1O,0
O=C1CCCC(=O)[C-]1C(=O)C1=C([N+](=O)[O-])C=C(C(F)(F)F)C=C1,0
O=C(NC1=C(Cl)C=NC=C1Cl)C1=CC(OCC2CC2)=C(OC(F)F)C=C1,0
O=C([O-])C1=C(O)C=CC(C2=CC=C(F)C=C2F)=C1,0
[NH3+][C@@H](CC1=CC(O)=C(O)C=C1)C(=O)[O-],0
[NH3+]CCC1=CC(O)=C(O)C=C1,0
ClC1=CC(Cl)=C(C(CN2C=CN=C2)OCC2=C(Cl)SC=C2)C=C1,0
ClC1=CC(Cl)=C(CO/N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,0
ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,0
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,0
OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,0
[NH3+][C@@H]1[C@H]2CN(C3=NC4=C(C=C3F)C(=O)C(C(=O)[O-])=CN4C3=C(F)C=C(F)C=C3)C[C@@H]12,0
NC1=CC(C(=O)[O-])=C(O)C=C1,0
NC1=CC(O)=C(C(=O)[O-])C=C1,0
[NH3+][C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(=O)[O-],0
O=C(NCC1CCCC[NH2+]1)C1=C(OCC(F)(F)F)C=CC(OCC(F)(F)F)=C1,0
O=C1C2=C([O-])C=CC([O-])=C2C(=O)C2=C(NCC[NH2+]CCO)C=CC(NCC[NH2+]CCO)=C12,0
O=C1CC[C@@]2(O)[C@H]3CC4=C5C(=C(O)C=C4)O[C@@H]1[C@]52CC[NH+]3CC1CC1,0
OC1=C2O[C@H]3[C@@H](O)CC[C@@]4(O)[C@H]5CC(=C2[C@@]34CC[NH+]5CC2CCC2)C=C1,0
NC(N)=[NH+]CC1=CC([131I])=CC=C1,0
O=C1[C@H](CC[C@H](O)C2=CC=C(F)C=C2)[C@@H](C2=CC=C(O)C=C2)N1C1=CC=C(F)C=C1,0
FC1=CC=C([C@@H]2CC[NH2+]C[C@H]2COC2=CC=C3OCOC3=C2)C=C1,0
O=C(N[C@H](CO)[C@H](O)C1=CC=C([N+](=O)[O-])C=C1)[C-](Cl)Cl,0
O=C([O-])CCC(=O)OC[C@@H](NC(=O)[C-](Cl)Cl)[C@H](O)C1=CC=C([N+](=O)[O-])C=C1,0
[NH3+]CC(CC(=O)[O-])C1=CC=C(Cl)C=C1,0
O=C(CCC[NH+]1CCC(O)(C2=CC=C(Cl)C=C2)CC1)C1=CC=C(F)C=C1,0
NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])C=C3)N2C=O)N1,0
NC1=NC(=O)C2=NC(CNC3=CC=C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])C=C3)=CN=C2N1,0
NC1=CC=C(C(=O)NCC(=O)[O-])C=C1,0
O=C([O-])CCNC(=O)C1=CC=C(N/N=C2/C=CC(=O)C(C(=O)[O-])=C2)C=C1,0
O=C(C1=CC=C(OCC[NH+]2CCCCC2)C=C1)C1=C(C2=CC=C(O)C=C2)SC2=CC(O)=CC=C12,0
OC1=CC=C(C2C[NH2+]CCC3=C2C=C(O)C(O)=C3Cl)C=C1,0
O=C1CN(/N=C/C2=CC=C(C3=CC=C([N+](=O)[O-])C=C3)O2)C(=O)N1,0
[NH3+][C@@H](CC1=CC=C(N(CCCl)CCCl)C=C1)C(=O)[O-],0
[NH3+][C@@H](CC1=CC=C(O)C=C1)C(=O)[O-],0
C1=CC(C[NH+]2CCCNCC[NH2+]CCCNCC2)=CC=C1C[NH+]1CCCNCC[NH2+]CCCNCC1,0
NS(=O)(=O)C1=CC=C(C[NH3+])C=C1,0
NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])C=C2)N1,0
O=C([O-])CCCC1=CC=C(N(CCCl)CCCl)C=C1,0
OC1=CC=C(CCCC[NH2+]C[C@H](O)C2=CC=C(O)C(O)=C2)C=C1,0
ClC1=CC=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,0
ClC1=CC=C(CSC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,0
NC1=CC=C(S(=O)(=O)C2=CC=C(N)C=C2)C=C1,0
NC1=CC=C(S(N)(=O)=O)C=C1,0
O=C(NC[C@H]1CN(C2=CC=C(N3CCOCC3=O)C=C2)C(=O)O1)C1=CC=C(Cl)S1,0
[NH2+]=C(NCCCCCCNC(=[NH2+])NC(=[NH2+])NC1=CC=C(Cl)C=C1)NC(=[NH2+])NC1=CC=C(Cl)C=C1,0
O=S([O-])CNC1=CC=C(S(=O)(=O)C2=CC=C(NCS(=O)[O-])C=C2)C=C1,0
OC1=CC=C(O)C=C1,0
NC(=O)OCC(O)COC1=CC=C(Cl)C=C1,0
O=P([O-])([O-])C(SC1=CC=C(Cl)C=C1)P(=O)([O-])[O-],0
O=C([O-])C1=CN=CC=C1,0
NC(=O)C1=CN=CC=C1,0
O=P([O-])([O-])C(O)(CC1=CN=CC=C1)P(=O)([O-])[O-],0
NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(C(=O)[O-])=C1,0
O=C1CN(/N=C/C2=CC=C([N+](=O)[O-])O2)C(=O)N1,0
O=C1OCCN1/N=C/C1=CC=C([N+](=O)[O-])O1,0
NC(=O)N/N=C/C1=CC=C([N+](=O)[O-])O1,0
O=C1O[Pt]OC(=O)C12CCC2,0
O=C([O-])C1=CC(=O)C2=C(C=CC=C2OCC(O)COC2=CC=CC3=C2C(=O)C=C(C(=O)[O-])O3)O1,0
OC1=C2N=CC=CC2=C(Cl)C=C1Cl,0
OC1=C2N=CC=CC2=C(Cl)C=C1I,0
OC(C1=C2C=CC=C(C(F)(F)F)C2=NC(C(F)(F)F)=C1)C1CCCC[NH2+]1,0
O=C1C([O-])=C([C@H]2CC[C@H](C3=CC=C(Cl)C=C3)CC2)C(=O)C2=C1C=CC=C2,0
N#CC1=CC2=C(C=C1)NC=C2CCCC[NH+]1CCN(C2=CC=C3OC(C(N)=O)=CC3=C2)CC1,0
O=C1NC2=C(C=C(Cl)C=C2)[C@@](C#CC2CC2)(C(F)(F)F)O1,0
O=C1NC2=C(C=CC(Cl)=C2)O1,0
OC(C[NH2+]CC(O)C1CCC2=C(C=CC(F)=C2)O1)C1CCC2=CC(F)=CC=C2O1,0
NC1=NC2=C(C=C(OC(F)(F)F)C=C2)S1,0
O=C1CCC2=C(C=CC(OCCCCC3=NN=NN3C3CCCCC3)=C2)N1,0
ClC1=CC=C(C(CN2C=CN=C2)OCC2=CSC3=C2C=CC=C3Cl)C(Cl)=C1,0
ClC1=CC=C2C(=C3CC[NH2+]CC3)C3=C(C=CC=N3)CCC2=C1,0
O=C1C2=CC=CC3=C2[C@H](CCC3)CN1[C@@H]1C[NH+]2CCC1CC2,0
OC1=CC=CC2=CC=CN=C12,0
N[C@@H]1CCCC[C@H]1[NH3+],0
ClC1=CC=C(C(C2=CC=CC=C2Cl)C(Cl)Cl)C=C1,0
O=C1NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2Cl)=NC1O,0
O=C([O-])C1=CC=C(N2N=C(C3=CC=CC=C3O)N=C2C2=CC=CC=C2O)C=C1,0
O=C1CN=C(C2=CC=CC=C2Cl)C2=C(C=CC([N+](=O)[O-])=C2)N1,0
FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2,0
ClC1=CC=CC=C1C[NH+]1CCC2=C(C=CS2)C1,0
O=C([O-])CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,0
[NH3+]CC1=CC=CC=C1CC(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSC3=NN=NN3CC(=O)[O-])CS[C@H]12,0
[NH3+]CC1(CC(=O)[O-])CCCCC1,0
NC1=CC=C(/N=N/C2=CC=CC=C2)C(N)=N1,0
O=C([O-])C1=C(CSC2=NN=NN2CS(=O)(=O)[O-])CS[C@@H]2[C@H](NC(=O)[C@H](O)C3=CC=CC=C3)C(=O)N12,0
[NH3+][C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Cl)CC[C@H]12)C1=CC=CC=C1,0
O=C([O-])COCC[NH+]1CCN([C@H](C2=CC=CC=C2)C2=CC=C(Cl)C=C2)CC1,0
O=C(O[C@H]1C[NH+]2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1,0
C1=CC=C([C@H]2CN3CCSC3=[NH+]2)C=C1,0
O=C([O-])COCC[NH+]1CCN(C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)CC1,0
OCCOCC[NH+]1CCN(C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)CC1,0
NC(=O)C(C1=CC=CC=C1)(C1=CC=CC=C1)[C@@H]1CC[NH+](CCC2=CC=C3OCCC3=C2)C1,0
O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,0
ClC1=CC=CC=C1C(C1=CC=CC=C1)(C1=CC=CC=C1)N1C=CN=C1,0
NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,0
NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,0
OC(CC[NH+]1CCCC1)(C1=CC=CC=C1)C1CCCCC1,0
OC(CC[NH+]1CCCCC1)(C1=CC=CC=C1)C1CC2C=CC1C2,0
OC(CC[NH+]1CCCCC1)(C1=CC=CC=C1)C1CCCC1,0
OC(CC[NH+]1CCCCC1)(C1=CC=CC=C1)C1CCCCC1,0
OC(CCC[NH+]1CCCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,0
NC(=O)OCC(COC(N)=O)C1=CC=CC=C1,0
O=C([O-])C1=CC=CC=C1,0
O=C(C1=CC=CC=C1)C1=CC=C2C(C(=O)[O-])CCN12,0
NC(=O)CC1=C(N)C(C(=O)C2=CC=CC=C2)=CC=C1,0
O=C([O-])C1=CC=C(NC(=O)C(CC2=CC=C(O)C=C2)NC(=O)C2=CC=CC=C2)C=C1,0
O=C([O-])CNC(=O)C1=CC=CC=C1,0
O=C(OOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,0
O=C1NC(C2=CC=CC=C2)(C2=CC=CC=C2)C(=O)N1COP(=O)([O-])[O-],0
O=C1NC(=O)C(C2=CC=CC=C2)(C2=CC=CC=C2)N1,0
N#CC(CC[NH+]1CCC(C(=O)[O-])(C2=CC=CC=C2)CC1)(C1=CC=CC=C1)C1=CC=CC=C1,0
NC1=NC2=NC(N)=C(C3=CC=CC=C3)N=C2C(N)=N1,0
NC1=[NH+]C(=O)C(C2=CC=CC=C2)O1,0
O=C1C2=CC=CC=C2C(=O)C1C1=CC=CC=C1,0
O=C([O-])CCC1=NC(C2=CC=CC=C2)=C(C2=CC=CC=C2)O1,0
[NH3+][C@@H]1CC1C1=CC=CC=C1,0
O=C([O-])C1N=C(C2=CC=CC=C2)C2=C(C=CC(Cl)=C2)NC1=O,0
O=C1NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=NC1O,0
O=C1CN=C(C2=CC=CC=C2)C2=C(C=CC(Cl)=C2)N1CC(F)(F)F,0
O=C1CN=C(C2=CC=CC=C2)C2=C(C=CC(Cl)=C2)N1CC1CC1,0
ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1,0
NC(=[NH2+])NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,0
O=C([O-])CC1=CC=CC=C1,0
NC(=O)NC(=O)CC1=CC=CC=C1,0
C1=CC=C(CC2=[NH+]CCN2)C=C1,0
NC(=O)CCC1NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC(=O)C([NH3+])CSSCC(C(=O)N2CCCC2C(=O)NC(CCC[NH+]=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,0
NC(=O)CCC1NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC(=O)C([NH3+])CSSCC(C(=O)N2CCCC2C(=O)NC(CCCC[NH3+])C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,0
NS(=O)(=O)C1=C(C(F)(F)F)C=C2NC(CC3=CC=CC=C3)NS(=O)(=O)C2=C1,0
[NH3+]CCCC[C@H]([NH2+][C@@H](CCC1=CC=CC=C1)C(=O)[O-])C(=O)N1CCC[C@H]1C(=O)[O-],0
O=C([O-])CCCC1=CC=CC=C1,0
OCC1=CC(C(O)C[NH2+]CCCCCCOCCCCC2=CC=CC=C2)=CC=C1O,0
NNCCC1=CC=CC=C1,0
C1=CC=C(CN(CC2=[NH+]CCN2)C2=CC=CC=C2)C=C1,0
O=C1N(CC2=CC=CC=C2)C2C[S+]3CCCC3C2N1CC1=CC=CC=C1,0
O=C(OCC1=CC=CC=C1)C1=CC=CC=C1,0
OC1=CC=C(OCC2=CC=CC=C2)C=C1,0
O=C([O-])CN(CCN(CC(=O)[O-])C(COCC1=CC=CC=C1)C(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-],0
NS(=O)(=O)C1=C(Cl)C=C2NC(CSCC3=CC=CC=C3)=NS(=O)(=O)C2=C1,0
NC1=CC=C(S(=O)(=O)[N-]C2=CC=NN2C2=CC=CC=C2)C=C1,0
O=NN(CCCl)C(=O)NC1CCCCC1,0
NC1=CC=C(C(=O)OC2=CC=CC=C2)C(O)=C1,0
NC(N)=[NH+]CC1COC2(CCCCC2)O1,0
