smiles,A,V,N,H,J,B,S,C,D,R,G,P,M,L
CC1=CC2=C(C=C1C)N(CC(O)C(O)C(O)CO)C1=NC(=O)NC(=O)C1=N2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,0,0,0,0,0,0,1,0,1,0,1,0,0,0
C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1OC(N2C=CC(N)=NC2=O)C(O)C1O,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCCCC(=O)O,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NC(CC1=CC(O)=C(O)C=C1)C(=O)O,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OCC(O)C(O)C(O)C(O)CO,1,1,0,0,0,1,0,0,0,1,0,0,0,0
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,0,0,0,0,1,0,1,0,0,0,0,0,0,0
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CC12CCC3C4=C(C=C(O)C=C4)CCC3C1CCC2=O,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CCO,0,1,0,0,0,0,0,0,1,0,0,0,0,0
NC1=NC2=NC=C(CNC3=CC=C(C(=O)NC(CCC(=O)O)C(=O)O)C=C3)N=C2C(=O)N1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
OC1=CC=C(O)C=C1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[N]=O,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NCC(O)C1=CC(O)=C(O)C=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OCC1=CC=CC=C1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,0,0,0,0,0,0,0,0,0,0,1,0,0,0
N#N,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)CCCCC1CCSS1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1,0,0,1,0,0,1,1,1,0,0,0,0,0
CCC(C)C1NC(=O)C(CC2=CC=C(O)C=C2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CNCC(O)C1=CC(O)=C(O)C=C1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
O=C(O)C1=CC=CC=C1O,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CC12CCC(CC1=O)C2(C)C,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[N-]=[N+]=O,0,0,1,0,0,0,0,0,0,0,0,0,0,0
O=C(NC(CO)C(O)C1=CC=C([N+](=O)[O-])C=C1)C(Cl)Cl,0,0,0,0,1,0,1,0,1,0,1,0,0,0
CC12CCC3C4=C(C=C(O)C=C4)CCC3C1CCC2O,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,0,0,0,0,0,0,0,0,1,0,0,0,0,1
II,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC(=O)OC1=CC=CC=C1C(=O)O,1,0,1,0,0,1,0,0,0,0,0,0,0,0
COC(=O)C1C(OC(=O)C2=CC=CC=C2)CC2CCC1N2C,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CC(O)C(=O)O,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CN1C2CCC1CC(OC(=O)C(CO)C1=CC=CC=C1)C2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
O=C(CO)C(O)C(O)C(O)CO,0,1,0,0,0,0,0,1,0,0,0,0,0,0
COC1=CC2=C(C=C1)C=C(C(C)C(=O)O)C=C2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
CC1=C(CC(=O)O)C2=C(C=CC(F)=C2)C1=CC1=CC=C(S(C)=O)C=C1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CNC(C)C(O)C1=CC=CC=C1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
COC1=CC(C2C3=CC4=C(C=C3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)=CC(OC)=C1O,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CC(C)CC1=CC=C(C(C)C(=O)O)C=C1,0,0,0,0,0,0,0,1,0,1,1,0,1,0
CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=CC=CC=C2S1(=O)=O,0,0,0,0,0,0,1,0,0,0,0,0,1,0
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,1,0,0,0,0,0,0,0,1,0,0,0,0,0
O=C(O)C1=C(O)C=CC(C2=C(F)C=C(F)C=C2)=C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCN(CC)C(=S)SSC(=S)N(CC)CC,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CC(C(=O)O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OC1=CC=CC(O)=C1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
O=C(CCCN1CCC(O)(C2=CC=C(Cl)C=C2)CC1)C1=CC=C(F)C=C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(C)O,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CN1C2CC(OC(=O)C(CO)C3=CC=CC=C3)CC1C1OC12,1,0,1,0,0,0,1,0,0,0,0,0,0,0
COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,0,0,0,0,1,0,1,0,1,0,0,0,0,0
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)O,0,0,0,0,0,0,1,1,0,0,0,0,1,0
CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C(=O)NC(CCC(=O)O)C(=O)O)C=C1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NC(=O)C1=NC=CN=C1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(=CCC1=C(C)C(=O)C2=CC=CC=C2C1=O)CCCC(C)CCCC(C)CCCC(C)C,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CC1=C(C)C(NC2=CC=CC=C2C(=O)O)=CC=C1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OC1=CC(O)=CC(O)=C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OCC1OC(N2C=NC3=C2NC=NCC3O)CC1O,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1=CC=C(C(=O)C2=CC=C(CC(=O)[O-])N2C)C=C1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NCCCCCC(=O)O,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S=C1N=CNC2=C1NC=N2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NC1=CC(O)=C(C(=O)O)C=C1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,1,0,0,0,0,0,1,0,1,1,0,0,0,0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,1,0,0,1,0,0,1,1,1,0,0,0,0,0
OCC(S)CS,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NC1=NC(=O)N(C2OC(CO)C(O)C2O)C=C1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CC1=CC=C(Cl)C(NC2=CC=CC=C2C(=O)[O-])=C1Cl,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CC1=CC(=O)OC2=C1C=CC(O)=C2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NC(CSCC(=O)O)C(=O)O,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NC(=O)C1CCCN1C(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)N1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C[S+](C)CCC(N)C(=O)O,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,0,0,0,0,0,0,0,1,0,0,1,0,0,0
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CCN1C=C(C(=O)O)C(=O)C2=C1N=C(C)C=C2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CC12CCC3C4=C(C=C(O)C=C4)CCC3C1CC(O)C2O,0,0,0,0,0,0,0,0,0,0,1,0,0,0
O=C(O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,0,0,0,0,1,0,1,0,0,0,0,0,0,0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1OC(OCC2OC(OC3=C(C4=CC=C(O)C(O)=C4)OC4=CC(O)=CC(O)=C4C3=O)C(O)C(O)C2O)C(O)C(O)C1O,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC(C)(CO)C(O)C(=O)NCCCO,1,0,0,0,0,0,1,0,1,0,0,0,0,0
COC1=CC=C2CC3C4C=CC(O)C5OC1=C2C45CCN3C,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CNC(=O)OC1=CC2=C(C=C1)N(C)C1N(C)CCC21C,0,1,0,0,0,0,1,0,0,0,0,0,0,0
COC(=O)C1C2CC3C4=C(CCN3CC2CC(OC(=O)C2=CC(OC)=C(OC)C(OC)=C2)C1OC)C1=C(C=C(OC)C=C1)N4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
COC(=O)C1C2CC3C4=C(CCN3CC2CC(OC(=O)C=CC2=CC(OC)=C(OC)C(OC)=C2)C1OC)C1=C(C=C(OC)C=C1)N4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CCC1C2CC3C4N(C)C5=CC=CC=C5C45CC(C2C5O)N3C1O,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)C4=C(C=CC=C4O)C(C)(O)C3CC12,1,0,0,0,1,0,1,0,1,0,0,0,0,0
CC1C=CC=CCCC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O,1,0,0,0,0,0,0,0,1,0,1,0,0,0
CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,1,0,0,0,1,0,0,0,0,0,1,0,0,0
CC1(C)SC2C(NC(=O)C(N)C3=CC=CC=C3)C(=O)N2C1C(=O)O,0,0,0,0,1,0,1,0,0,0,0,0,0,0
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)C4=C(O)C=CC=C4C(C)(O)C3C(O)C12,0,0,0,0,1,0,1,0,1,0,1,0,0,0
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COC1=CC(=O)CC(C)C12OC1=C(C2=O)C(OC)=CC(OC)=C1Cl,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CCN1C=C(C(=O)O)C(=O)C2=CC(F)=C(N3CCNCC3)C=C21,0,0,0,0,1,0,1,0,0,0,0,0,0,0
COC1C=COC2(C)OC3=C(C2=O)C2=C(O)C(C=NN4CCN(C)CC4)=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C(O)=C2C(O)=C3C,0,0,0,0,1,0,0,0,0,0,0,0,0,0
